Compound,Element,Anion,MW (g/mol),Temp (°C),Mass %,Molarity (M),log S,g/100mL H2O,Source,Substance Name,SMILES,Data Quality,SD,Measurements
octan-2-one,,,128.215,25,0.089919073,0.00701946,-2.153696327,0.09,"Sci Data 6, 143 (2019) - G3",octan-2-one,CCCCCCC(C)=O,G3,0.051848164,2
"octane-1,8-diamine",,,217.184,25,33.33333333,2.302195373,0.362142177,50,"Sci Data 6, 143 (2019) - G3","octane-1,8-diamine",[Cl-].[Cl-].[NH3+]CCCCCCCC[NH3+],G3,0.03034892,2
oxadiazon,,,345.226,25,9.95642E-05,2.88403E-06,-5.54,9.95643E-05,"Sci Data 6, 143 (2019) - G3",oxadiazon,CC(C)OC1=C(Cl)C=C(Cl)C(=C1)N2N=C(OC2=O)C(C)(C)C,G3,0.0765,2
oxolan-2-ylmethanol,,,102.133,25,20,2.447788667,0.38877392,25,"Sci Data 6, 143 (2019) - G3",oxolan-2-ylmethanol,OCC1CCCO1,G3,0.30101304,2
oxycarboxin,,,267.306,25,0.099215062,0.003715352,-2.43,0.099313596,"Sci Data 6, 143 (2019) - G3",oxycarboxin,CC1=C(C(=O)NC2=CC=CC=C2)[S](=O)(=O)CCO1,G3,0.07455,2
oxyfluorfen,,,361.703,25,1.15998E-05,3.20701E-07,-6.4939,1.15998E-05,"Sci Data 6, 143 (2019) - G3",oxyfluorfen,CCOc1cc(Oc2ccc(cc2Cl)C(F)(F)F)ccc1[N+]([O-])=O,G3,0.03205,2
p-bromobenzoic acid,,,201.019,25,0.005999445,0.00029847,-3.5251,0.005999805,"Sci Data 6, 143 (2019) - G3",p-bromobenzoic acid,OC(=O)c1ccc(Br)cc1,G3,0.16245,2
p-bromophenol,,,173.009,25,1.380484581,0.08090959,-1.092,1.399808724,"Sci Data 6, 143 (2019) - G3",p-bromophenol,Oc1ccc(Br)cc1,G3,0.046,2
p-chlorobenzoic_acid,,,156.568,25,0.007667781,0.000489779,-3.31,0.007668369,"Sci Data 6, 143 (2019) - G3",p-chlorobenzoic_acid,O=C(O)c(ccc(c1)Cl)c1,G3,0.0137,2
p-chlorophenoxyacetic acid,,,186.594,25,0.095605366,0.005128614,-2.29,0.095696857,"Sci Data 6, 143 (2019) - G3",p-chlorophenoxyacetic acid,OC(=O)COc1ccc(Cl)cc1,G3,0.025,2
p-cyanobenzoic acid,,,147.133,25,0.119864124,0.008156428,-2.0885,0.12000797,"Sci Data 6, 143 (2019) - G3",p-cyanobenzoic acid,OC(=O)c1ccc(cc1)C#N,G3,0.08075,2
p-cyclohexylphenol,,,176.259,25,0.005999641,0.000340408,-3.468,0.006000001,"Sci Data 6, 143 (2019) - G3",p-cyclohexylphenol,Oc1ccc(cc1)C2CCCCC2,G3,0.303944793,2
p-isopropyltoluene,,,134.222,25,0.002279365,0.000169824,-3.77,0.002279417,"Sci Data 6, 143 (2019) - G3",p-isopropyltoluene,c1cc(C)ccc1C(C)C,G3,0.0057,2
p-methoxybenzoic acid,,,152.149,25,0.0529711,0.003483373,-2.458,0.052999174,"Sci Data 6, 143 (2019) - G3",p-methoxybenzoic acid,COc1ccc(cc1)C(O)=O,G3,0.216,2
p-methoxyphenol,,,124.139,25,3.845713205,0.322181056,-0.4919,3.999523405,"Sci Data 6, 143 (2019) - G3",p-methoxyphenol,COc1ccc(O)cc1,G3,0.08905,2
p-tert-amylphenol,,,164.248,25,0.016796823,0.001022822,-2.9902,0.016799644,"Sci Data 6, 143 (2019) - G3",p-tert-amylphenol,CCC(C)(C)c1ccc(O)cc1,G3,0.026726756,2
p-toluenesulfonic acid,,,172.205,25,38.27454611,3.600808292,0.5564,62.00771919,"Sci Data 6, 143 (2019) - G3",p-toluenesulfonic acid,Cc1ccc(cc1)[S](O)(=O)=O,G3,0.134880026,2
parathion-methyl;  methylparathion,,,263.211,25,0.005498955,0.00020893,-3.68,0.005499257,"Sci Data 6, 143 (2019) - G3",parathion-methyl;  methylparathion,CO[P](=S)(OC)OC1=CC=C(C=C1)[N+]([O-])=O,G3,0.082,2
pendimethalin,,,281.312,25,2.99977E-05,1.06635E-06,-5.9721,2.99977E-05,"Sci Data 6, 143 (2019) - G3",pendimethalin,CCC(CC)Nc1c(cc(C)c(C)c1[N+]([O-])=O)[N+]([O-])=O,G3,0.01895,2
pentachloroethane,,,202.295,25,0.047970778,0.002372466,-2.6248,0.047993801,"Sci Data 6, 143 (2019) - G3",pentachloroethane,ClC(Cl)C(Cl)(Cl)Cl,G3,0.0124,2
pentamethylbenzene,,,148.249,25,0.001549833,0.000104544,-3.9807,0.001549858,"Sci Data 6, 143 (2019) - G3",pentamethylbenzene,Cc1cc(C)c(C)c(C)c1C,G3,0.00965,2
pentan-1-ol,,,88.15,25,2.152641879,0.249574589,-0.602799636,2.2,"Sci Data 6, 143 (2019) - G3",pentan-1-ol,CCCCCO,G3,0.010101693,2
pentan-2-ol,,,88.15,25,4.680202078,0.557005105,-0.254140825,4.91,"Sci Data 6, 143 (2019) - G3",pentan-2-ol,CCCC(C)O,G3,0.020879588,2
"pentane, 2-chloro-",,,106.596,25,0.024982299,0.002344229,-2.63,0.024988541,"Sci Data 6, 143 (2019) - G3","pentane, 2-chloro-",CCCC(C)Cl,G3,0.13485,2
"pentanedioic acid, dimethyl ester",,,160.169,25,5.571614118,0.368383356,-0.4337,5.900359374,"Sci Data 6, 143 (2019) - G3","pentanedioic acid, dimethyl ester",COC(=O)CCCC(=O)OC,G3,0.014575448,2
"pentanoic acid, 2-methyl-",,,116.16,25,1.477716332,0.129121927,-0.889,1.499880308,"Sci Data 6, 143 (2019) - G3","pentanoic acid, 2-methyl-",CCCC(C)C(O)=O,G3,0.044848386,2
pentyl propanoate,,,144.214,25,0.080934443,0.005616653,-2.250522404,0.081,"Sci Data 6, 143 (2019) - G3",pentyl propanoate,CCCCCOC(=O)CC,G3,0.485261202,2
permethrin,,,391.294,25,4.00408E-06,1.02329E-07,-6.99,4.00408E-06,"Sci Data 6, 143 (2019) - G3",permethrin,CC1(C)[C@@H](C=C(Cl)Cl)[C@H]1C(=O)OCc2cccc(Oc3ccccc3)c2,G3,0.4122,2
"peroxide, bis(1-methyl-1-phenylethyl)",,,270.372,25,4.60004E-05,1.70137E-06,-5.7692,4.60004E-05,"Sci Data 6, 143 (2019) - G3","peroxide, bis(1-methyl-1-phenylethyl)",CC(C)(OOC(C)(C)c1ccccc1)c2ccccc2,G3,0.014646629,2
perphenazine,,,403.979,25,0.00282974,7.00487E-05,-4.1546,0.00282982,"Sci Data 6, 143 (2019) - G3",perphenazine,OCCN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,G3,0.2327,2
perylene,,,252.316,25,5.03437E-08,1.99526E-09,-8.7,5.03437E-08,"Sci Data 6, 143 (2019) - G3",perylene,C1=CC2=C3C(=C1)C=CC=C3C4=CC=CC5=CC=CC2=C45,G3,0.04995,2
phenmedipham,,,300.314,25,0.000499544,1.66341E-05,-4.779,0.000499546,"Sci Data 6, 143 (2019) - G3",phenmedipham,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,G3,0.01325,2
phenoxyacetic acid,,,152.149,25,1.185737988,0.07886785,-1.1031,1.199966446,"Sci Data 6, 143 (2019) - G3",phenoxyacetic acid,OC(=O)COc1ccccc1,G3,0.07155,2
phenylhydroxylamine,,,109.128,25,3.845951222,0.36652196,-0.4359,3.999780842,"Sci Data 6, 143 (2019) - G3",phenylhydroxylamine,ONc1ccccc1,G3,0.15055,2
phenylmercuric acetate,,,336.74,25,0.435111857,0.012977768,-1.8868,0.437013353,"Sci Data 6, 143 (2019) - G3",phenylmercuric acetate,CC(=O)O[Hg]c1ccccc1,G3,0.1696,2
"phloroglucinol;  1,3,5-benzenetriol;  1,3,5-trihyd",,,126.111,25,1.111472899,0.089125094,-1.05,1.123965471,"Sci Data 6, 143 (2019) - G3","phloroglucinol;  1,3,5-benzenetriol;  1,3,5-trihydroxybenzene",OC1=CC(=CC(=C1)O)O,G3,0.0127,2
phorate,,,260.386,25,0.005000298,0.000192044,-3.7166,0.005000548,"Sci Data 6, 143 (2019) - G3",phorate,CCO[P](=S)(OCC)SCSCC,G3,0.1967,2
phosalone,,,367.816,25,0.000305021,8.29278E-06,-5.0813,0.000305022,"Sci Data 6, 143 (2019) - G3",phosalone,CCO[P](=S)(OCC)SCN1C(=O)Oc2cc(Cl)ccc12,G3,0.07585,2
phoxim,,,298.304,25,0.000699288,2.34423E-05,-4.63,0.000699293,"Sci Data 6, 143 (2019) - G3",phoxim,CCO[P](=S)(OCC)O\N=C(C#N)\c1ccccc1,G3,0.11595,2
picloram,,,241.461,25,0.042979395,0.001780738,-2.7494,0.042997875,"Sci Data 6, 143 (2019) - G3",picloram,Nc1c(Cl)c(Cl)nc(C(O)=O)c1Cl,G3,0.0097,2
"piperazine, 2-methyl-",,,100.165,25,30.31488944,4.343101709,0.6378,43.50267827,"Sci Data 6, 143 (2019) - G3","piperazine, 2-methyl-",CC1CNCCN1,G3,0.0511,2
piperonal,,,150.133,25,0.34878577,0.023313099,-1.6324,0.350006543,"Sci Data 6, 143 (2019) - G3",piperonal,O=Cc1ccc2OCOc2c1,G3,0.198974064,2
pirimiphos-methyl,,,305.34,25,0.002247884,7.36207E-05,-4.133,0.002247935,"Sci Data 6, 143 (2019) - G3",pirimiphos-methyl,CCN(CC)c1nc(C)cc(O[P](=S)(OC)OC)n1,G3,0.20865,2
pivalic acid,,,102.133,25,2.714271816,0.273173215,-0.563561886,2.79,"Sci Data 6, 143 (2019) - G3",pivalic acid,CC(C)(C)C(O)=O,G3,0.054569057,2
potassium formate,,,84.115,25,41.65555707,8.48789503,0.9288,71.39592905,"Sci Data 6, 143 (2019) - G3",potassium formate,[K+].[O-]C=O,G3,0.073163275,2
potassium hexadecyl hydrogen phosphate,,,360.516,25,0.01979608,0.000549213,-3.260259354,0.0198,"Sci Data 6, 143 (2019) - G3",potassium hexadecyl hydrogen phosphate,[K+].CCCCCCCCCCCCCCCCO[P](O)([O-])=O,G3,0.014835335,2
potassium oxalate,,,166.214,25,20.00101656,1.504180658,0.1773,25.0015884,"Sci Data 6, 143 (2019) - G3",potassium oxalate,[K+].[K+].[O-]C(=O)C([O-])=O,G3,0.097659233,2
potassium trihydrogen diethanedioate,,,219.166,25,9.747292419,0.492777164,-0.307349426,10.8,"Sci Data 6, 143 (2019) - G3",potassium trihydrogen diethanedioate,[K].OC(=O)C(O)=O.OC(=O)C(O)=O,G3,0.317741873,2
prasterone  acetate;  dehydroepiandrosterone  acet,,,330.468,25,0.000975271,2.95121E-05,-4.53,0.00097528,"Sci Data 6, 143 (2019) - G3","prasterone  acetate;  dehydroepiandrosterone  acetate; prasterone acetate; 5,6-dehydroisoandrosterone acetate",CC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4=O)C3CC=C2C1,G3,0.035,2
prodiamine,,,350.297,25,2.98151E-06,8.51138E-08,-7.07,2.98151E-06,"Sci Data 6, 143 (2019) - G3",prodiamine,CCCN(CCC)C1=C(C(=C(C=C1[N+]([O-])=O)C(F)(F)F)N)[N+]([O-])=O,G3,0.18025,2
progesterone,,,314.469,25,0.000880996,2.80156E-05,-4.5526,0.000881004,"Sci Data 6, 143 (2019) - G3",progesterone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,G3,0.022235989,2
"prometon;  2,4-bis(isopropylamino)-6-methoxy-1,3,5",,,225.296,25,0.062013191,0.002754229,-2.56,0.062051671,"Sci Data 6, 143 (2019) - G3","prometon;  2,4-bis(isopropylamino)-6-methoxy-1,3,5-triazine",COC1=NC(=NC(=N1)NC(C)C)NC(C)C,G3,0.04115,2
prometryn,,,317.328,25,0.002520562,7.94328E-05,-4.1,0.002520626,"Sci Data 6, 143 (2019) - G3",prometryn,COP(=S)(OC)SCN2C(=O)c1ccccc1C2=O,G3,0.00705,2
prometryne,,,241.364,25,0.003299576,0.00013671,-3.8642,0.003299685,"Sci Data 6, 143 (2019) - G3",prometryne,CSc1nc(NC(C)C)nc(NC(C)C)n1,G3,0.1179,2
prop-2-en-1-yl 2-methylprop-2-enoate,,,126.155,25,0.219517062,0.017438865,-1.758481787,0.22,"Sci Data 6, 143 (2019) - G3",prop-2-en-1-yl 2-methylprop-2-enoate,CC(=C)C(=O)OCC=C,G3,0.00804341,2
prop-2-enal,,,56.064,25,17.21854305,3.710045662,0.569379255,20.8,"Sci Data 6, 143 (2019) - G3",prop-2-enal,C=CC=O,G3,0.200310373,2
propachlor,,,211.692,25,0.069952065,0.00330674,-2.4806,0.070001033,"Sci Data 6, 143 (2019) - G3",propachlor,CC(C)N(C(=O)CCl)c1ccccc1,G3,0.2603,2
propanal,,,58.08,25,18.08744011,3.801893963,0.58,22.08140014,"Sci Data 6, 143 (2019) - G3",propanal,CCC=O,G3,0.070847409,2
"propanoic acid, 2,2'-dithiobis-",,,210.276,25,2.410422349,0.117462706,-0.9301,2.469958788,"Sci Data 6, 143 (2019) - G3","propanoic acid, 2,2'-dithiobis-",OC(=O)CCSSCCC(O)=O,G3,0.36785,2
"propanoic acid, 3-amino-2-hydroxy-",,,105.093,25,1.555483187,0.150348812,-0.8229,1.580060767,"Sci Data 6, 143 (2019) - G3","propanoic acid, 3-amino-2-hydroxy-",NCC(O)C(O)=O,G3,0.007,2
propargite,,,350.48,25,4.99992E-05,1.42659E-06,-5.8457,4.99992E-05,"Sci Data 6, 143 (2019) - G3",propargite,CC(C)(C)c1ccc(OC2CCCCC2O[S](=O)OCC#C)cc1,G3,0.18326239,2
propionanilide,,,149.193,25,0.418722348,0.028183829,-1.55,0.420483005,"Sci Data 6, 143 (2019) - G3",propionanilide,CCC(=O)NC1=CC=CC=C1,G3,0.185,2
propiophenone,,,134.178,25,0.119856173,0.008943344,-2.048500068,0.12,"Sci Data 6, 143 (2019) - G3",propiophenone,CCC(=O)c1ccccc1,G3,0.110900034,2
propyl_formate,,,88.106,25,2.77202241,0.323593657,-0.49,2.851054274,"Sci Data 6, 143 (2019) - G3",propyl_formate,O=COCCC,G3,0.0563,2
propyne,,,40.065,25,0.362649695,0.090844785,-1.0417,0.36396963,"Sci Data 6, 143 (2019) - G3",propyne,CC#C,G3,0.31585,2
pteridine,,,132.126,25,12.15377988,1.047128548,0.02,13.83529065,"Sci Data 6, 143 (2019) - G3",pteridine,C1=NC2=C(N=C1)N=CN=C2,G3,0.00715,2
"pteridine, 2-(methylthio)-",,,178.22,25,0.311531069,0.017534767,-1.7561,0.312504618,"Sci Data 6, 143 (2019) - G3","pteridine, 2-(methylthio)-",CSc1ncc2nccnc2n1,G3,0.30195,2
pteridine-2-thione,,,164.193,25,0.034293016,0.002089296,-2.68,0.03430478,"Sci Data 6, 143 (2019) - G3",pteridine-2-thione,S=C1NC2=C(C=N1)N=CC=N2,G3,0.045,2
pyridine,,,79.102,25,31.28019158,5.754399373,0.76,45.51844992,"Sci Data 6, 143 (2019) - G3",pyridine,c1ccccn1,G3,0.1709,2
quinethazone,,,289.744,25,0.014998551,0.000517726,-3.2859,0.015000801,"Sci Data 6, 143 (2019) - G3",quinethazone,CCC1NC(=O)c2cc(c(Cl)cc2N1)[S](N)(=O)=O,G3,0.00705,2
quinoline,,,129.162,25,0.607289461,0.047304935,-1.325093551,0.611,"Sci Data 6, 143 (2019) - G3",quinoline,c1ccc2ncccc2c1,G3,0.013436073,2
raffinose,,,504.438,25,50.16162912,1.995262315,0.3,100.6486132,"Sci Data 6, 143 (2019) - G3",raffinose,OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,G3,0.355,2
rotenone,,,394.423,25,0.001336461,3.38844E-05,-4.47,0.001336479,"Sci Data 6, 143 (2019) - G3",rotenone,COC1=CC2=C(C=C1OC)C3C(CO2)OC4=C(C=CC5=C4CC(O5)C(C)=C)C3=O,G3,0.025,2
rovral (iprodione),,,330.171,25,0.001390058,4.21017E-05,-4.3757,0.001390077,"Sci Data 6, 143 (2019) - G3",rovral (iprodione),CC(C)NC(=O)N1CC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2,G3,0.01715,2
salithion,,,216.198,25,0.00579998,0.000268287,-3.5714,0.005800316,"Sci Data 6, 143 (2019) - G3",salithion,CO[P]1(=S)OCc2ccccc2O1,G3,0.0643,2
sarafloxacin,,,385.37,25,0.028559714,0.00074131,-3.13,0.028567873,"Sci Data 6, 143 (2019) - G3",sarafloxacin,C1CN(CCN1)c1c(cc2c(n(cc(C(=O)O)c2=O)c2ccc(cc2)F)c1)F,G3,0.005,2
scopolamine;  hyoscine,,,303.358,25,1.715693205,0.057543994,-1.24,1.745643085,"Sci Data 6, 143 (2019) - G3",scopolamine;  hyoscine,CN1C2CC(CC1C3OC23)OC(=O)C(CO)C4=CC=CC=C4,G3,0.38,2
secbumeton,,,225.296,25,0.059909159,0.002660725,-2.575,0.059945071,"Sci Data 6, 143 (2019) - G3",secbumeton,CCNc1nc(NC(C)CC)nc(OC)n1,G3,0.0073,2
"shikimic  acid;  1-carboxy-3,4,5-trihydroxy-1-cycl",,,174.152,25,15.12538044,1.023292992,0.01,17.82085212,"Sci Data 6, 143 (2019) - G3","shikimic  acid;  1-carboxy-3,4,5-trihydroxy-1-cyclohexene",OC1CC(=CC(O)C1O)C(O)=O,G3,0.0374,2
silver(1+) docosanoate,,,447.452,25,7.38E-06,1.64934E-07,-6.782690092,7.38E-06,"Sci Data 6, 143 (2019) - G3",silver(1+) docosanoate,[Ag+].CCCCCCCCCCCCCCCCCCCCCC([O-])=O,G3,0.226541507,2
"simetryne; 2-methylthio-4,6-di(ethylamino)-1,3,5-t",,,213.31,25,0.03970441,0.001862087,-2.73,0.039720181,"Sci Data 6, 143 (2019) - G3","simetryne; 2-methylthio-4,6-di(ethylamino)-1,3,5-triazine",CCNC1=NC(=NC(=N1)NCC)SC,G3,0.0271,2
"sodium (2R)-2-[(1S)-1,2-dihydroxyethyl]-4-hydroxy-",,,198.106,25,39.12090588,3.24371801,0.511043092,64.26,"Sci Data 6, 143 (2019) - G3","sodium (2R)-2-[(1S)-1,2-dihydroxyethyl]-4-hydroxy-5-oxo-2,5-dihydrofuran-3-olate",[Na+].OC[C@H](O)C1OC(=O)[C-](O)C1=O,G3,0.102940365,2
sodium (ethoxymethanethioyl)sulfanide,,,144.196,25,33.55481728,3.502177592,0.544338165,50.5,"Sci Data 6, 143 (2019) - G3",sodium (ethoxymethanethioyl)sulfanide,[Na+].CCOC([S-])=S,G3,0.006355983,2
"sodium 1-amino-4-[(3-acetamidophenyl)amino]-9,10-d",,,473.442,25,0.002329946,4.92141E-05,-4.307910861,0.00233,"Sci Data 6, 143 (2019) - G3","sodium 1-amino-4-[(3-acetamidophenyl)amino]-9,10-dioxo-9,10-dihydroanthracene-2-sulfonate",[Na+].CC(=O)Nc1cccc(Nc2cc(c(N)c3C(=O)c4ccccc4C(=O)c23)[S]([O-])(=O)=O)c1,G3,0.054838673,2
"sodium 2-[(4-hydroxy-9,10-dioxo-9,10-dihydroanthra",,,431.401,25,0.170508771,0.003959193,-2.402393281,0.1708,"Sci Data 6, 143 (2019) - G3","sodium 2-[(4-hydroxy-9,10-dioxo-9,10-dihydroanthracen-1-yl)amino]-5-methylbenzene-1-sulfonate",[Na+].Cc1ccc(Nc2ccc(O)c3C(=O)c4ccccc4C(=O)c23)c(c1)[S]([O-])(=O)=O,G3,0.383756067,2
sodium 2-chloroacetate,,,116.479,25,45.11525796,7.057066081,0.848624184,82.2,"Sci Data 6, 143 (2019) - G3",sodium 2-chloroacetate,[Na+].[O-]C(=O)CCl,G3,0.007273554,2
"sodium 2-{2,5-dichloro-4-[(E)-2-(2-methyl-1H-indol",,,513.36,25,0.00899919,0.000175316,-3.756179517,0.009,"Sci Data 6, 143 (2019) - G3","sodium 2-{2,5-dichloro-4-[(E)-2-(2-methyl-1H-indol-3-yl)diazen-1-yl]benzenesulfonamido}ethane-1-sulfonate",[Na+].CC\1=Nc2ccccc2C1=N/Nc3cc(Cl)c(cc3Cl)[S](=O)(=O)NCC[S]([O-])(=O)=O,G3,0.092818288,2
sodium 3-({3-methoxy-4-[(4-methoxyphenyl)diazenyl],,,448.436,25,6.147348662,0.146063206,-0.83545917,6.549999999,"Sci Data 6, 143 (2019) - G3",sodium 3-({3-methoxy-4-[(4-methoxyphenyl)diazenyl]phenyl}diazenyl)benzenesulfonate,[Na+].COc1ccc(cc1)N=Nc2ccc(cc2OC)N=Nc3cccc(c3)[S]([O-])(=O)=O,G3,0.09187935,2
"sodium dihydrogen 2-hydroxypropane-1,2,3-tricarbox",,,214.105,25,36.30573249,2.66224516,0.425248046,57,"Sci Data 6, 143 (2019) - G3","sodium dihydrogen 2-hydroxypropane-1,2,3-tricarboxylate",[Na+].OC(=O)CC(O)(CC(O)=O)C([O-])=O,G3,0.312770544,2
sodium dodecylbenzenesulfonate,,,349.492,25,0.009999,0.00028613,-3.543437239,0.01,"Sci Data 6, 143 (2019) - G3",sodium dodecylbenzenesulfonate,[Na].CCCCCCCCCCCCO[S](=O)(=O)c1ccccc1,G3,0.451544994,2
sodium hydroxymethanesulfinate,,,118.089,25,38.89024688,5.389155636,0.731520726,63.63999999,"Sci Data 6, 143 (2019) - G3",sodium hydroxymethanesulfinate,[Na+].OC[S]([O-])=O,G3,0.098134915,2
sodium trichloroacetate,,,185.369,25,50,5.394645275,0.731962893,99.99999999,"Sci Data 6, 143 (2019) - G3",sodium trichloroacetate,[Na+].[O-]C(=O)C(Cl)(Cl)Cl,G3,0.039590623,2
"sodium; benzene-1,4-diamine; methanolate; methyl 2",,,461.108,25,2.28E-05,4.94461E-07,-6.30586781,2.28E-05,"Sci Data 6, 143 (2019) - G3","sodium; benzene-1,4-diamine; methanolate; methyl 2,3,4,5-tetrachloro-6-cyanobenzoate",[Na+].C[O-].COC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C#N.Nc2ccc(N)cc2,G3,0.440406796,2
spironolactone,,,416.583,25,0.002186211,5.24807E-05,-4.28,0.002186259,"Sci Data 6, 143 (2019) - G3",spironolactone,O=C(OC(C(C(C(C(C(C(=CC(=O)C1)C2)(C1)C)C3)C2SC(=O)C)C4)(C3)C)(C4)C5)C5,G3,0.055,2
stilbene,,,180.25,25,2.91995E-05,1.61994E-06,-5.7905,2.91995E-05,"Sci Data 6, 143 (2019) - G3",stilbene,c1ccc(cc1)\C=C\c2ccccc2,G3,0.06975,2
suberic acid,,,174.196,25,1.171175045,0.068029926,-1.1673,1.185054103,"Sci Data 6, 143 (2019) - G3",suberic acid,OC(=O)CCCCCCC(O)=O,G3,0.43635,2
succinimide,,,99.089,25,19.56466154,2.454708916,0.39,24.32346517,"Sci Data 6, 143 (2019) - G3",succinimide,O=C1CCC(=O)N1,G3,0.046884687,2
sulfamethazine,,,278.337,25,0.051801926,0.001862087,-2.73,0.051828775,"Sci Data 6, 143 (2019) - G3",sulfamethazine,S(=O)(=O)(Nc1nc(C)cc(n1)C)c1ccc(N)cc1,G3,0.23075,2
sulfometuron (ph 5-7),,,364.383,25,0.024392267,0.000669576,-3.1742,0.024398218,"Sci Data 6, 143 (2019) - G3",sulfometuron (ph 5-7),COC(=O)c1ccccc1[S](=O)(=O)NC(=O)Nc2nc(C)cc(C)n2,G3,0.0471,2
sulindac,,,356.418,25,0.000999897,2.80543E-05,-4.552,0.000999907,"Sci Data 6, 143 (2019) - G3",sulindac,CC\1=C(CC(O)=O)c2cc(F)ccc2C1=C\c3ccc(cc3)[S](C)=O,G3,0.224,2
sulindac_form_II,,,356.418,25,0.00112708,3.16228E-05,-4.5,0.001127093,"Sci Data 6, 143 (2019) - G3",sulindac_form_II,CC1=C(CC(O)=O)c2cc(F)ccc2C\1=C\c1ccc(cc1)S(C)=O,G3,0.41,2
t-Crotonaldehyde,,,70.091,25,12.77352028,2.089296131,0.32,14.64408551,"Sci Data 6, 143 (2019) - G3",t-Crotonaldehyde,C/C=C/C=O,G3,0.005,2
tebuthiuron,,,228.321,25,0.229376301,0.010069317,-1.997,0.229903646,"Sci Data 6, 143 (2019) - G3",tebuthiuron,CNC(=O)N(C)c1sc(nn1)C(C)(C)C,G3,0.0182,2
terbufos,,,288.44,25,0.000507053,1.75792E-05,-4.755,0.000507055,"Sci Data 6, 143 (2019) - G3",terbufos,CCO[P](=S)(OCC)SCSC(C)(C)C,G3,0.2375,2
terbutryn,,,241.364,25,0.002500125,0.000103586,-3.9847,0.002500187,"Sci Data 6, 143 (2019) - G3",terbutryn,CCNc1nc(NC(C)(C)C)nc(SC)n1,G3,0.00765,2
terephthalic acid,,,166.132,25,0.001499846,9.02818E-05,-4.0444,0.001499869,"Sci Data 6, 143 (2019) - G3",terephthalic acid,OC(=O)c1ccc(cc1)C(O)=O,G3,0.0728,2
tert-butyl prop-2-enoate,,,128.171,25,0.2005968,0.015682175,-1.804593715,0.201,"Sci Data 6, 143 (2019) - G3",tert-butyl prop-2-enoate,CC(C)(C)OC(=O)C=C,G3,0.194691103,2
testosterone,,,288.431,25,0.002340086,8.11335E-05,-4.0908,0.002340141,"Sci Data 6, 143 (2019) - G3",testosterone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,G3,0.493612447,2
testosterone acetate,,,330.468,25,0.000216336,6.54636E-06,-5.184,0.000216336,"Sci Data 6, 143 (2019) - G3",testosterone acetate,CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,G3,0.013,2
tetrachloroguaiacol,,,261.919,25,0.002501244,9.54993E-05,-4.02,0.002501307,"Sci Data 6, 143 (2019) - G3",tetrachloroguaiacol,Clc1c(Cl)c(Cl)c(Cl)c(O)c1OC,G3,0.38745,2
tetracycline,,,444.44,25,0.033702859,0.000758578,-3.12,0.033714222,"Sci Data 6, 143 (2019) - G3",tetracycline,CN(C)C2C1CC4C(=C(O)C1(O)C(=O)C(=C2O)C(N)=O)C(=O)c3c(O)cccc3C4(C)O,G3,0.08,2
tetradecane,,,198.394,25,6.9427E-07,3.49945E-08,-7.456,6.9427E-07,"Sci Data 6, 143 (2019) - G3",tetradecane,CCCCCCCCCCCCCC,G3,0.24955,2
tetramethrin,,,331.412,25,0.000459585,1.38676E-05,-4.858,0.000459588,"Sci Data 6, 143 (2019) - G3",tetramethrin,CC(C)=C[C@@H]1[C@@H](C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,G3,0.19995,2
tetrasodium 2-({2-[bis(carboxylatomethyl)amino]eth,,,380.172,25,33.33333333,1.315194175,0.118989877,50,"Sci Data 6, 143 (2019) - G3",tetrasodium 2-({2-[bis(carboxylatomethyl)amino]ethyl}(carboxylatomethyl)amino)acetate,[Na+].[Na+].[Na+].[Na+].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O,G3,0.032228995,2
"tetrasodium 5-({4-chloro-6-[ethyl(phenyl)amino]-1,",,,954.218,25,23.07692308,0.314393566,-0.50252635,30,"Sci Data 6, 143 (2019) - G3","tetrasodium 5-({4-chloro-6-[ethyl(phenyl)amino]-1,3,5-triazin-2-yl}amino)-3-[(E)-2-(1,5-disulfonatonaphthalen-2-yl)diazen-1-yl]-4-hydroxynaphthalene-2,7-disulfonate",[Na+].[Na+].[Na+].[Na+].CCN(c1ccccc1)c2nc(Cl)nc(Nc3cc(cc4cc(c(N=Nc5ccc6c(cccc6[S]([O-])(=O)=O)c5[S]([O-])(=O)=O)c(O)c34)[S]([O-])(=O)=O)[S]([O-])(=O)=O)n2,G3,0.026539222,2
